main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,Unnamed: 0
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,FREE,Usually dispatched in 6 to 7 days.,"₹2,337","₹3,505",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,FREE,Usually dispatched in 5 to 6 days.,"₹6,842","₹13,786",
bags & luggage,Rucksacks,FREE,Usually dispatched in 5 to 6 days.,"₹1,264","₹2,548",
bags & luggage,Rucksacks,FREE,Usually dispatched in 5 to 6 days.,₹505,"₹1,042",
bags & luggage,Rucksacks,,,₹659,"₹1,308",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,"₹3,164","₹6,328",
bags & luggage,Rucksacks,,,"₹1,299","₹1,499",
bags & luggage,Rucksacks,,,₹999,"₹1,499",
bags & luggage,Rucksacks,,,₹499,₹699,
bags & luggage,Rucksacks,,,₹599,₹999,
bags & luggage,Rucksacks,,,₹811,"₹1,602",
bags & luggage,Rucksacks,,,₹681,"₹1,372",
bags & luggage,Rucksacks,,,"₹2,275","₹4,586",
bags & luggage,Rucksacks,,,"₹2,781","₹5,576",
bags & luggage,Rucksacks,,,"₹2,145","₹4,322",
bags & luggage,Rucksacks,,,"₹2,495","₹5,028",
bags & luggage,Rucksacks,,,"₹2,843","₹5,730",
bags & luggage,Rucksacks,,,"₹2,556","₹5,150",
bags & luggage,Rucksacks,,,"₹2,921","₹5,886",
bags & luggage,Rucksacks,,,"₹3,183","₹6,414",
bags & luggage,Rucksacks,,,"₹2,896","₹5,836",
bags & luggage,Rucksacks,,,"₹2,730","₹5,502",
bags & luggage,Rucksacks,,,"₹2,038","₹4,108",
bags & luggage,Rucksacks,,,"₹1,546","₹3,116",
bags & luggage,Rucksacks,,,"₹3,172","₹6,392",
bags & luggage,Rucksacks,,,"₹2,294","₹4,622",
bags & luggage,Rucksacks,,,₹817,"₹1,646",
bags & luggage,Rucksacks,,,₹853,"₹1,720",
bags & luggage,Rucksacks,,,₹347,₹660,
bags & luggage,Rucksacks,,,₹599,₹999,
bags & luggage,Rucksacks,,,₹515,₹979,
bags & luggage,Rucksacks,,,₹773,"₹1,469",
bags & luggage,Rucksacks,,,₹812,"₹1,543",
bags & luggage,Rucksacks,,,₹657,"₹1,249",
bags & luggage,Rucksacks,,,"₹3,444","₹6,544",
bags & luggage,Rucksacks,,,₹775,"₹1,473",
bags & luggage,Rucksacks,,,₹767,"₹1,458",
bags & luggage,Rucksacks,,,₹486,₹924,
bags & luggage,Rucksacks,,,₹619,"₹1,177",
bags & luggage,Rucksacks,,,"₹6,862","₹13,038",
bags & luggage,Rucksacks,,,₹809,"₹1,538",
bags & luggage,Rucksacks,,,₹616,"₹1,171",
bags & luggage,Rucksacks,,,₹396,₹753,
bags & luggage,Rucksacks,,,₹606,"₹1,152",
bags & luggage,Rucksacks,,,₹421,₹800,
bags & luggage,Rucksacks,,,₹481,₹914,
bags & luggage,Rucksacks,,,₹601,"₹1,142",
bags & luggage,Rucksacks,,,"₹1,273","₹2,419",
bags & luggage,Rucksacks,,,"₹2,251","₹4,277",
bags & luggage,Rucksacks,,,₹981,"₹1,864",
bags & luggage,Rucksacks,,,₹813,"₹1,545",
bags & luggage,Rucksacks,,,"₹3,804","₹7,228",
bags & luggage,Rucksacks,,,₹602,"₹1,144",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,"₹2,749","₹4,250",
bags & luggage,Rucksacks,,,₹698,"₹1,999",
bags & luggage,Rucksacks,,,,"₹10,789.92",
bags & luggage,Rucksacks,,,"₹1,372","₹3,758",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,"₹1,540","₹3,354",
bags & luggage,Rucksacks,,,"₹3,312","₹6,674",
bags & luggage,Rucksacks,,,₹892,"₹1,798",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,"₹1,741","₹3,508",
bags & luggage,Rucksacks,,,"₹2,866","₹5,820",
bags & luggage,Rucksacks,,,"₹2,006","₹4,044",
bags & luggage,Rucksacks,,,"₹5,077","₹10,304",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,₹705,"₹1,422",
bags & luggage,Rucksacks,,,"₹3,082","₹6,210",
bags & luggage,Rucksacks,,,"₹1,056","₹2,128",
bags & luggage,Rucksacks,,,"₹5,146","₹10,396",
bags & luggage,Rucksacks,,,₹909,"₹1,832",
bags & luggage,Rucksacks,,,"₹12,581","₹25,348",
bags & luggage,Rucksacks,,,"₹1,844","₹3,716",
bags & luggage,Rucksacks,,,"₹3,165","₹6,378",
bags & luggage,Rucksacks,,,"₹1,178","₹2,374",
bags & luggage,Rucksacks,,,₹756,"₹1,524",
bags & luggage,Rucksacks,,,"₹2,008","₹4,132",
bags & luggage,Rucksacks,,,"₹2,047","₹4,124",
bags & luggage,Rucksacks,,,"₹41,044","₹82,694",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,"₹1,182","₹2,536",
bags & luggage,Rucksacks,,,"₹4,973","₹10,020",
bags & luggage,Rucksacks,,,"₹3,295","₹6,640",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,₹850,"₹1,714",
bags & luggage,Rucksacks,,,₹971,"₹1,958",
bags & luggage,Rucksacks,,,₹836,"₹1,686",
bags & luggage,Rucksacks,,,"₹1,270","₹2,560",
bags & luggage,Rucksacks,,,"₹1,629","₹3,282",
bags & luggage,Rucksacks,,,"₹5,027","₹10,128",
bags & luggage,Rucksacks,,,₹466,₹776,
bags & luggage,Rucksacks,,,"₹1,330","₹2,216",
bags & luggage,Rucksacks,,,"₹4,862","₹8,103",
bags & luggage,Rucksacks,,,₹997,"₹1,661",
bags & luggage,Rucksacks,,,"₹2,574","₹4,290",
bags & luggage,Rucksacks,,,₹409,₹681,
bags & luggage,Rucksacks,,,"₹7,087","₹11,811",
bags & luggage,Rucksacks,,,₹925,"₹1,541",
bags & luggage,Rucksacks,,,"₹1,539","₹2,565",
bags & luggage,Rucksacks,,,₹761,"₹1,268",
bags & luggage,Rucksacks,,,"₹3,381","₹5,635",
bags & luggage,Rucksacks,,,₹649,"₹1,999",
bags & luggage,Rucksacks,,,₹749,₹999,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,₹565,"₹1,140",
bags & luggage,Rucksacks,,,₹463,₹934,
bags & luggage,Rucksacks,,,₹625,"₹1,260",
bags & luggage,Rucksacks,,,"₹2,515","₹4,805",
bags & luggage,Rucksacks,,,"₹2,638","₹5,038",
bags & luggage,Rucksacks,,,,,
bags & luggage,Rucksacks,,,"₹4,280","₹8,624",
bags & luggage,Rucksacks,,,"₹8,451","₹17,028",
bags & luggage,Rucksacks,,,"₹8,423","₹16,972",
bags & luggage,Rucksacks,,,"₹1,054","₹2,124",
bags & luggage,Rucksacks,,,"₹7,581","₹15,274",
