,c0,c1,price
360,777.0455732249478,-228.98236166767657,105.0
361,783.7444300930777,412.01918802548016,125.0
362,778.16041647774,-229.3504500239928,
363,778.303234507711,-227.90519438572068,
364,781.4527752487662,-36.23847494336422,125.0
365,778.7844008088554,-48.812698714878195,
366,781.7547120175991,-36.685854073517326,99.0
367,-1444.6653901707775,-207.56743274170285,146.0
368,-1107.5052432655566,108.13096821441385,
369,782.2661971878359,25.846181794910443,
370,776.8143267959033,-228.2911440351708,
371,-1452.2657605156935,-206.99639423238605,
372,-1087.2088326894695,2322.1212423981224,
373,777.1013907959485,-228.93015195205984,
374,-1451.2980615488334,425.97762886262046,
375,-1409.191434696057,45.48702898272771,
376,777.1113524409249,-229.4096734482887,
377,777.0440725045768,-228.9045483648618,
378,-739.5042720020565,-212.03622304093116,
379,-1352.1982622244623,-208.78917112865466,
380,-1440.5644536977497,-15.585408246186308,
381,779.2347097365954,-38.14911952825965,
382,-1376.1084325530828,-207.1921588374992,
383,-740.2985413437893,-212.48455291133175,170.0
384,-1398.661270900587,39.6534395390988,200.0
385,-1444.0480413593307,-207.17802529986875,85.0
386,776.2714396765223,-229.07761493548136,203.0
387,-729.9712136642111,896.7094334995669,
388,-1429.4497351537264,1028.7727114608465,135.0
389,779.1499630483457,18.51153717642479,
390,-1391.4946198547932,40.48975354130877,
391,-1427.8600959439434,39.58341769485513,159.0
392,-739.3120429621147,-212.16655874404535,120.0
393,837.6657500776535,5943.767684656478,
394,-1466.2777801709858,-207.22560515128694,
395,-388.67102795431657,8221.928282007219,
396,778.2873232878737,-228.74487836308688,
397,-1349.8856976363822,-22.7907861362124,130.0
398,782.5973853398901,21.8551841658025,
399,772.0396413250177,19.726540572558655,
400,-1389.0069475443574,-22.32407303685848,650.0
401,-1384.670348862405,162.95336327745503,120.0
402,-1108.45731373388,38.30433575392207,
403,780.6015573730967,19.55101459131205,195.0
404,-1456.2488220938683,-206.55775030064487,
405,-1408.6636400634593,161.48807868297268,
406,-1108.5723320137647,-209.6177463339626,
407,776.6554480783209,-229.17996096542643,
408,-1408.570900766682,161.63575381698155,
409,781.337758882784,203.36026496802407,280.0
410,778.7700259642868,17.78689744080532,94.0
411,-1283.9271532227413,409.6053008220909,81.0
412,784.4199960343229,265.8837769192025,
413,779.3192944727735,-228.47090470135063,
414,-1406.3037148780766,409.332959659314,177.0
415,776.3924062002493,-229.73409059849152,
416,838.8089271544817,5944.386256671114,450.0
417,776.066413948424,-229.1876362279962,
418,779.1683389644274,-227.89594276183772,94.0
419,784.2235359139432,389.17099551156537,
420,-1348.5188899836407,39.29845880279708,
421,790.2448019557922,1007.1751730796933,
422,780.0413523601417,80.35869356249314,
423,789.1082610302889,1006.4696792805552,135.0
424,781.4628831286598,203.41327811929347,297.0
425,-987.4148655062057,-25.46532137916818,
426,-1467.3748147475546,-206.07864399323938,184.0
427,-1441.0413116886616,40.86681368544994,
428,-739.173159385515,-212.07988699024807,
429,-1410.6717188932541,-206.86385182235264,
