,house_rules,host_since,host_response_rate,host_listings_count,host_total_listings_count,host_verifications,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,security_deposit_perc,cleaning_fee_perc,guests_included,extra_people_perc,maximum_minimum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_location,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,price,family,pool,luxury,private,studio,len_amenities,PCA
2598,True,2016,207.87734241908007,2.0,2.0,182.41509433962264,-33.89201,151.25085,True,2,1.0,1.0,1.0,0.0,12.0,1,0.0,1,99,2,2,100.0,10.0,1,1,0,0.75,125,False,False,False,False,False,17,780.6216925175779
6219,True,2018,207.87734241908007,117.0,117.0,190.42857142857142,-33.964659999999995,151.09506000000002,True,6,2.0,2.0,2.0,240.0,120.0,1,0.0,2,61,3,3,73.0,9.0,19,19,0,1.23,125,False,False,False,False,False,27,-738.911879125834
2853,False,2018,207.87734241908007,14.0,14.0,255.36666666666667,-33.89883,151.17657,True,3,1.0,1.0,2.0,400.0,64.0,4,0.0,7,114,6,6,97.0,10.0,13,13,0,1.35,125,False,False,False,False,True,30,-1288.7219057567427
9473,False,2014,207.87734241908007,2.0,2.0,246.8955223880597,-33.905809999999995,151.26505,True,2,1.0,1.0,1.0,0.0,96.0,1,0.0,5,189,86,38,95.0,10.0,2,2,0,3.09,125,False,False,False,False,True,44,780.6009381029963
3868,False,2013,207.87734241908007,10.0,10.0,141.75,-33.848040000000005,151.20507,True,2,1.0,1.0,1.0,400.0,264.0,1,0.0,5,341,5,4,84.0,10.0,10,10,0,0.33,125,False,False,False,False,False,22,780.6058097975991
5414,True,2017,154.9,27.0,27.0,217.50485436893203,-33.89248,151.1499,True,2,1.0,1.0,1.0,480.0,80.0,1,0.0,3,0,4,1,93.0,9.0,27,27,0,0.24,125,False,False,False,False,False,11,780.6303906241864
2481,False,2016,207.87734241908007,20.0,20.0,178.59622641509435,-33.87971,151.2143,True,3,1.0,1.0,2.0,240.0,56.00000000000001,2,16.0,2,0,29,27,84.0,9.0,16,16,0,1.53,125,False,False,False,False,False,33,780.6214647830952
1,True,2016,207.87734241908007,1.0,1.0,227.12709030100334,-33.75546,151.29509,True,3,1.0,1.0,2.0,160.0,68.0,2,8.0,3,311,2,1,70.0,10.0,2,1,1,0.15,125,False,False,False,False,False,18,-1348.6946664720745
3916,False,2016,207.87734241908007,5.0,5.0,217.50485436893203,-33.94147,151.25635,True,6,2.0,2.0,3.0,0.0,126.0,4,8.0,7,240,14,10,93.0,10.0,5,5,0,0.79,127,False,False,False,False,False,40,-738.8959348999323
9111,False,2014,207.87734241908007,1.0,1.0,150.13636363636363,-33.77796,151.28685,True,4,1.0,2.0,2.0,0.0,63.0,2,20.0,3,184,14,11,96.0,10.0,1,1,0,0.65,127,False,False,False,False,False,39,780.5893367928504
531,False,2014,207.87734241908007,43.0,43.0,206.125,-33.86286,151.20721,True,4,1.0,1.0,3.0,157.0,97.0,1,0.0,5,66,37,32,95.0,10.0,28,28,0,1.73,127,False,False,False,False,False,38,780.6166409289169
1866,False,2017,167.73684210526315,1.0,1.0,198.97058823529412,-33.90518,151.18538,True,4,1.0,1.0,2.0,236.0,56.00000000000001,2,12.0,1,91,65,48,95.0,10.0,1,1,0,3.82,127,False,False,False,False,False,43,780.6068701938775
5526,False,2012,233.13636363636363,5.0,5.0,176.9078014184397,-33.869890000000005,151.20507,True,3,1.0,1.0,2.0,236.0,55.00000000000001,2,20.0,1,50,2,2,100.0,10.0,5,5,0,1.25,127,False,False,False,False,False,31,780.6159084936758
664,False,2014,207.87734241908007,43.0,43.0,206.125,-33.899,151.19522,True,2,1.0,1.0,1.0,236.0,95.0,1,0.0,2,0,4,0,90.0,9.0,28,28,0,0.18,127,False,False,False,False,False,28,780.624980997002
7315,False,2013,207.87734241908007,13.0,13.0,237.06749555950267,-33.88357,151.17996000000002,False,1,6.0,1.0,1.0,0.0,16.0,1,0.0,3,221,1,1,60.0,4.0,13,0,13,0.16,127,False,False,False,False,False,17,780.6273490745488
631,False,2018,207.87734241908007,6.0,6.0,193.44848484848484,-33.8751,151.20581,True,3,1.0,1.0,2.0,339.0,43.0,2,44.0,3,106,36,36,90.0,10.0,6,6,0,4.17,127,False,False,False,False,False,58,-1108.779002779842
1612,False,2015,207.87734241908007,10.0,10.0,244.625,-33.74861,150.69891,True,6,2.0,2.0,4.0,234.0,74.0,4,20.0,1,157,67,38,93.0,10.0,3,3,0,3.37,128,False,False,False,False,False,34,780.6039846346721
2907,False,2014,207.87734241908007,3.0,3.0,178.59622641509435,-33.891420000000004,151.21261,True,2,1.0,1.0,1.0,539.0,77.0,1,30.0,2,18,5,1,95.0,10.0,3,1,2,0.09,128,False,False,False,False,False,24,780.6286931500259
2617,False,2015,207.87734241908007,1.0,1.0,219.23076923076923,-33.6718,151.29753,True,5,1.0,2.0,4.0,391.0,35.0,2,27.0,14,263,103,25,94.0,10.0,1,1,0,2.32,128,False,True,False,False,False,44,-1408.6988015339323
211,False,2014,207.87734241908007,1.0,1.0,128.0,-33.88157,151.143,True,5,2.0,3.0,3.0,234.0,94.0,2,23.0,5,0,41,23,97.0,10.0,1,1,0,2.14,128,False,False,False,False,False,57,-1348.6872280371122
