,date,nofsales
380,2008-02-22,0
381,2008-02-23,3
382,2008-02-24,0
383,2008-02-25,0
384,2008-02-26,0
385,2008-02-27,3
386,2008-02-28,0
387,2008-02-29,3
388,2008-03-01,0
389,2008-03-02,0
390,2008-03-03,0
391,2008-03-04,1
392,2008-03-05,0
393,2008-03-06,0
394,2008-03-07,0
395,2008-03-08,0
396,2008-03-09,0
397,2008-03-10,0
398,2008-03-11,0
399,2008-03-12,0
400,2008-03-13,1
401,2008-03-14,1
402,2008-03-15,1
403,2008-03-16,0
404,2008-03-17,0
405,2008-03-18,0
406,2008-03-19,1
407,2008-03-20,1
408,2008-03-21,0
409,2008-03-22,0
410,2008-03-23,0
411,2008-03-24,0
412,2008-03-25,0
413,2008-03-26,0
414,2008-03-27,0
415,2008-03-28,0
416,2008-03-29,0
417,2008-03-30,0
418,2008-03-31,0
419,2008-04-01,0
420,2008-04-02,0
421,2008-04-03,0
422,2008-04-04,0
423,2008-04-05,1
424,2008-04-06,0
425,2008-04-07,0
426,2008-04-08,0
427,2008-04-09,2
428,2008-04-10,1
429,2008-04-11,3
430,2008-04-12,0
431,2008-04-13,0
432,2008-04-14,4
433,2008-04-15,1
434,2008-04-16,0
435,2008-04-17,0
436,2008-04-18,1
437,2008-04-19,0
438,2008-04-20,0
439,2008-04-21,1
440,2008-04-22,1
441,2008-04-23,2
442,2008-04-24,2
443,2008-04-25,0
444,2008-04-26,0
445,2008-04-27,0
446,2008-04-28,0
447,2008-04-29,2
448,2008-04-30,1
449,2008-05-01,1
450,2008-05-02,3
451,2008-05-03,0
452,2008-05-04,0
453,2008-05-05,2
454,2008-05-06,0
455,2008-05-07,0
456,2008-05-08,0
457,2008-05-09,1
458,2008-05-10,0
459,2008-05-11,0
460,2008-05-12,1
461,2008-05-13,1
462,2008-05-14,1
463,2008-05-15,0
464,2008-05-16,2
465,2008-05-17,1
466,2008-05-18,0
467,2008-05-19,1
468,2008-05-20,0
469,2008-05-21,0
470,2008-05-22,0
471,2008-05-23,1
472,2008-05-24,0
473,2008-05-25,0
474,2008-05-26,0
475,2008-05-27,1
476,2008-05-28,1
477,2008-05-29,0
478,2008-05-30,2
479,2008-05-31,0
480,2008-06-01,0
481,2008-06-02,2
482,2008-06-03,1
483,2008-06-04,0
484,2008-06-05,0
485,2008-06-06,2
486,2008-06-07,0
487,2008-06-08,0
488,2008-06-09,0
489,2008-06-10,3
490,2008-06-11,2
491,2008-06-12,0
492,2008-06-13,2
493,2008-06-14,2
494,2008-06-15,0
495,2008-06-16,0
496,2008-06-17,2
497,2008-06-18,1
498,2008-06-19,2
499,2008-06-20,1
500,2008-06-21,0
501,2008-06-22,0
502,2008-06-23,2
503,2008-06-24,1
504,2008-06-25,4
505,2008-06-26,1
506,2008-06-27,3
507,2008-06-28,0
508,2008-06-29,1
509,2008-06-30,2
510,2008-07-01,1
511,2008-07-02,1
512,2008-07-03,0
513,2008-07-04,1
514,2008-07-05,0
515,2008-07-06,0
516,2008-07-07,2
517,2008-07-08,1
518,2008-07-09,0
519,2008-07-10,2
520,2008-07-11,2
521,2008-07-12,0
522,2008-07-13,0
523,2008-07-14,2
524,2008-07-15,0
525,2008-07-16,3
526,2008-07-17,1
527,2008-07-18,2
528,2008-07-19,1
529,2008-07-20,0
